Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11
100,3.2465524673461914,0.0,0.05621181055903435,0.6741807,0.0,0.0,0.0,0.0,0.0,0.00036103794,0.0,0.0,0.0,0.0
200,3.104768753051758,0.05621181055903435,0.07595616579055786,0.69463277,0.21649353,0.0,0.0,0.0,0.0,0.00034768562,0.0,0.0,0.0,0.0
300,2.9220829010009766,0.07595616579055786,0.0961160957813263,0.7014223,0.45192525,0.0,0.0,0.0,0.0,4.565828e-05,0.0,0.0,0.0,0.0
400,2.6614139080047607,0.0961160957813263,0.12123751640319824,0.7417854,0.7129918,7.2918185e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,2.501202344894409,0.12123751640319824,0.21852289140224457,0.81454104,0.9475533,0.86015,0.0,0.0,0.0,3.0344409e-05,0.0,0.0,0.0,0.0
600,2.333120822906494,0.21852289140224457,0.2353670597076416,0.95483035,0.96438295,0.9051914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,2.1626107692718506,0.2353670597076416,0.2409515082836151,0.9960594,0.96596724,0.9293914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,2.042144298553467,0.2409515082836151,0.2436157464981079,0.9975998,0.9776887,0.94510627,0.0,0.0,0.0,0.002994012,0.0,0.0,0.0,0.0
900,1.9287965297698975,0.2436157464981079,0.243382066488266,0.99757284,0.9676849,0.95532703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,1.82838773727417,0.2436157464981079,0.24430245161056519,0.9977611,0.97198796,0.9550776,0.0,0.0,0.0,0.006802721,0.0,0.0,0.0,0.0
1100,1.7375296354293823,0.24430245161056519,0.2424679845571518,0.99731517,0.96844524,0.9438552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,1.6573888063430786,0.24430245161056519,0.24426881968975067,0.9980209,0.9734251,0.95977986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,1.5781548023223877,0.24430245161056519,0.24508824944496155,0.99830943,0.9807988,0.96195066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,1.51143217086792,0.24508824944496155,0.2454264611005783,0.9984414,0.9805879,0.96608824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,1.4508875608444214,0.2454264611005783,0.24723926186561584,0.9986815,0.9808207,0.97547805,0.0,0.002366864,0.0,0.00952381,0.0,0.0,0.0,0.0
1600,1.3970054388046265,0.24723926186561584,0.25006619095802307,0.99898547,0.98545516,0.9788018,0.0,0.0,0.0,0.03560831,0.0019436346,0.0,0.0,0.0
1700,1.3694549798965454,0.25006619095802307,0.26172807812690735,0.9990527,0.98732966,0.97754383,0.0,0.0,0.0,0.09638554,0.08042488,0.0,0.0,0.0
1800,1.2984004020690918,0.26172807812690735,0.26446232199668884,0.9991752,0.98878735,0.980783,0.0,0.0,0.0,0.09322034,0.11158192,0.0,0.0,0.0
1900,1.2604390382766724,0.26446232199668884,0.26692789793014526,0.9989345,0.9854771,0.97555196,0.0,0.0,0.0,0.13197969,0.11119133,0.0,0.0,0.0
2000,1.2201625108718872,0.26692789793014526,0.2687469720840454,0.9992021,0.9908047,0.97896224,0.0,0.0,0.0,0.08108108,0.11725067,0.0,0.04347826,0.0
2100,1.1854488849639893,0.2687469720840454,0.27003055810928345,0.9994034,0.99128276,0.9871926,0.0,0.0,0.0,0.09567198,0.09992962,0.0,0.052287582,0.0
2200,1.177830457687378,0.27003055810928345,0.2633713185787201,0.99910027,0.99126583,0.9852077,0.0,0.0,0.0,0.03076923,0.096969694,0.0,0.057142857,0.0
2300,1.1246081590652466,0.27003055810928345,0.25950464606285095,0.99900407,0.9926134,0.9881577,0.0,0.0,0.0,0.025477707,0.0591133,0.0,0.049689442,0.0
2400,1.1215535402297974,0.27003055810928345,0.2535906434059143,0.99894595,0.98992044,0.9876432,0.0,0.0,0.0,0.0,0.026578072,0.0,0.04,0.0
2500,1.0722596645355225,0.27003055810928345,0.2483161985874176,0.9991019,0.9924542,0.9882383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2600,1.0495524406433105,0.27003055810928345,0.24849426746368408,0.99912304,0.9931668,0.98964137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
