Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11,Dice Class 12,Dice Class 13,Dice Class 14,Dice Class 15,Dice Class 16,Dice Class 17,Dice Class 18,Dice Class 19,Dice Class 20
100,1.0589217828078703,0.0,0.5237134397029877,0.993546,0.7266243,0.5380397,0.83376217,0.7440628,0.5233062,0.7476153,0.7643765,0.68599623,0.67363024,0.20575267,0.38229328,0.44,0.16563554,0.39179105,0.45538187,0.47604424,0.4925965,0.2695783,0.4546154
200,1.1262954274813335,0.5237134397029877,0.5184290111064911,0.9935379,0.7384132,0.48534337,0.8305341,0.716076,0.5644158,0.74760056,0.7544066,0.690241,0.6559913,0.17192915,0.33531916,0.4283281,0.1589396,0.38636363,0.45144928,0.46523824,0.48663104,0.27501667,0.45306325
300,0.7162539958953857,0.5237134397029877,0.5003298074007034,0.9939094,0.7427081,0.5860697,0.8359339,0.7270864,0.48965573,0.7703802,0.7551884,0.67812705,0.6539016,0.09941292,0.3438155,0.36367348,0.16063434,0.35191363,0.42114547,0.41911763,0.42624855,0.2625509,0.3728205
400,0.8134430023756895,0.5237134397029877,0.5081557035446167,0.9940139,0.7525281,0.5374675,0.82804894,0.73304486,0.48875517,0.78120935,0.7696624,0.68872786,0.64217687,0.08469792,0.41288516,0.3082151,0.15196997,0.36005247,0.47506583,0.46345517,0.42536288,0.2228929,0.5063939
500,0.44385750715931255,0.5237134397029877,0.5107806324958801,0.9939101,0.7444556,0.5516788,0.83164,0.75024307,0.49492,0.7718134,0.7460247,0.7037481,0.6593054,0.092124544,0.44644642,0.26644737,0.12714286,0.39579108,0.4369606,0.47506306,0.43352062,0.31029105,0.451006
600,0.1313992440700531,0.5237134397029877,0.5254899263381958,0.9940847,0.7516308,0.5543263,0.8385825,0.75119233,0.5313524,0.77868134,0.76649797,0.709457,0.6631387,0.098636806,0.42885202,0.41862285,0.19375,0.40000004,0.47397137,0.50033736,0.41941392,0.30840456,0.4011628
700,0.6076864437623457,0.5254899263381958,0.530268132686615,0.993887,0.73501855,0.5860902,0.8340681,0.7548387,0.5026085,0.7722038,0.75491095,0.70375025,0.6478721,0.11059113,0.44351178,0.353827,0.1972324,0.38707387,0.46057692,0.49583334,0.43527132,0.44287038,0.48049092
800,0.6550781081120173,0.530268132686615,0.5446867346763611,0.9940841,0.7632517,0.53838855,0.83211386,0.7542201,0.54973316,0.77652705,0.75582963,0.7164909,0.6478883,0.09918968,0.3972332,0.5418719,0.22301137,0.4055944,0.42307693,0.5100679,0.4264724,0.49852723,0.5431818
900,0.4892491400241852,0.5446867346763611,0.5259684026241302,0.9941695,0.7408873,0.5769679,0.84375453,0.7555092,0.5380078,0.78038144,0.7422002,0.716671,0.65254045,0.13259564,0.39045262,0.31571183,0.21218583,0.39199674,0.39084584,0.46777707,0.4138971,0.42226082,0.51349324
1000,0.5820698453621431,0.5446867346763611,0.5244677364826202,0.994218,0.74450946,0.53845334,0.84097934,0.74742764,0.52493817,0.7891274,0.7657593,0.7152679,0.6478088,0.11558441,0.37382352,0.3340961,0.2197066,0.3766234,0.4088542,0.44027779,0.46898735,0.44216132,0.46551722
1100,0.7768318305412928,0.5446867346763611,0.534387856721878,0.9941919,0.7588935,0.6018156,0.83616644,0.7254877,0.5730112,0.78667796,0.7349496,0.7164325,0.6530523,0.1210026,0.30816993,0.47668934,0.27413303,0.35636115,0.42901963,0.43473196,0.48141026,0.4432485,0.45505616
1200,0.47766292095184326,0.5446867346763611,0.5299031436443329,0.994153,0.7649253,0.58066845,0.8325279,0.7355566,0.5198117,0.7836516,0.7427906,0.7236017,0.66300905,0.09278846,0.32070708,0.37700534,0.22224501,0.3967045,0.42098498,0.425,0.45970696,0.42857143,0.58434546
1300,0.6313178715380755,0.5446867346763611,0.5296387076377869,0.99436235,0.7667322,0.5477735,0.8410078,0.7461612,0.5212845,0.79719234,0.7502477,0.7261772,0.6477653,0.11464803,0.31752843,0.41306084,0.21591234,0.3426541,0.4537037,0.48333332,0.4629004,0.44971222,0.46532014
1400,0.6280989646911621,0.5446867346763611,0.5299727022647858,0.99439055,0.7637671,0.57549846,0.84914947,0.7569176,0.5196978,0.79102933,0.750929,0.7179106,0.65097904,0.13482143,0.34573364,0.3931083,0.26261467,0.37260514,0.41726476,0.4243508,0.5048077,0.41547406,0.42916667
1500,0.4225114583969116,0.5446867346763611,0.5438920855522156,0.99451965,0.76708436,0.602814,0.84641755,0.75177515,0.5249132,0.8021384,0.7382485,0.7118583,0.6755968,0.15157154,0.33003235,0.56174695,0.24686909,0.3312655,0.40895587,0.4720497,0.45200896,0.4372976,0.5605159
1600,0.45746063508770685,0.5446867346763611,0.554616391658783,0.9946902,0.7832098,0.61611557,0.84758234,0.77418244,0.5288132,0.8074554,0.7500974,0.7184882,0.67514884,0.112113856,0.36855602,0.56263316,0.27422723,0.32675195,0.435633,0.4102981,0.5513468,0.4977169,0.553442
1700,0.32193489124377567,0.554616391658783,0.5517182946205139,0.99453104,0.7792673,0.5716006,0.8453116,0.75776356,0.5269748,0.80078745,0.74510825,0.70788896,0.6845963,0.20963983,0.37802112,0.53334314,0.27798665,0.33272374,0.39815122,0.40297204,0.50789475,0.5514486,0.51757294
1800,0.15499332547187805,0.554616391658783,0.5493354797363281,0.99445045,0.77698094,0.5998262,0.84407395,0.7561264,0.5328515,0.7954333,0.7701197,0.7055143,0.6811413,0.15,0.34271282,0.52805865,0.22656801,0.35541248,0.37629727,0.41582492,0.46066177,0.6051724,0.55784315
1900,0.5395845784382387,0.554616391658783,0.5573321580886841,0.9946358,0.76317734,0.59415996,0.85147893,0.7730818,0.5429542,0.8087096,0.74904644,0.71105206,0.67695224,0.24285716,0.34261364,0.49754903,0.24034575,0.32780445,0.38318843,0.43409467,0.5140713,0.6211103,0.5762683
2000,0.9602910031874975,0.5573321580886841,0.5444632470607758,0.99447775,0.7632719,0.590363,0.8422736,0.763785,0.5329127,0.80545765,0.75879264,0.7170029,0.67166597,0.24939817,0.40267354,0.5862669,0.22309895,0.34326485,0.4174812,0.43659973,0.42481884,0.3333333,0.5219941
2100,0.1183374747633934,0.5573321580886841,0.5441007912158966,0.99439245,0.7710767,0.56123817,0.84344554,0.75969505,0.5445624,0.7927505,0.7752136,0.7114961,0.6837457,0.22784808,0.38870174,0.5256822,0.29049772,0.331993,0.44093764,0.41587722,0.44621274,0.33789474,0.5406015
2200,0.6052350239320234,0.5573321580886841,0.5464920997619629,0.99447787,0.7746538,0.53201956,0.83972025,0.75741863,0.528754,0.8030385,0.77617383,0.7027056,0.6988404,0.2264151,0.39918414,0.4809794,0.2627421,0.33497483,0.5175669,0.4614458,0.45844626,0.30454248,0.58492064
2300,0.290009727080663,0.5573321580886841,0.5464294850826263,0.99442065,0.7664201,0.57666475,0.8429309,0.7673271,0.4688989,0.80101156,0.7738844,0.6932782,0.69154024,0.2532546,0.39976943,0.43388963,0.2586658,0.36416006,0.5051495,0.45794573,0.44071,0.43669355,0.5080819
2400,1.587519884109497,0.5573321580886841,0.5513676702976227,0.9944892,0.77205443,0.52368635,0.8438793,0.7800618,0.4981575,0.80551684,0.7613592,0.7008831,0.69950867,0.21581197,0.40227273,0.4200964,0.24052651,0.3642857,0.51624477,0.43875968,0.46278778,0.53571427,0.54706895
2500,0.48676362227309833,0.5573321580886841,0.5525415241718292,0.99431217,0.76618105,0.5739279,0.8375379,0.7798027,0.48895085,0.7920083,0.7670214,0.69576395,0.69580185,0.20407423,0.39941555,0.3337912,0.22694173,0.37543708,0.5382429,0.46817204,0.49177366,0.51418537,0.59153664
2600,0.3209788550933202,0.5573321580886841,0.5518283843994141,0.9947003,0.7795421,0.60488266,0.8446313,0.7752195,0.5242748,0.8120181,0.78439033,0.70375633,0.7023891,0.07328191,0.383592,0.43282947,0.22405015,0.34491134,0.5232681,0.4606529,0.45499182,0.5349637,0.5685118
2700,0.4105669856071472,0.5573321580886841,0.5505226850509644,0.99460626,0.775616,0.5738555,0.8548938,0.7602794,0.5199467,0.80844057,0.7629164,0.71032345,0.69594586,0.10625,0.365,0.42884618,0.28791755,0.36607143,0.5319853,0.47453225,0.46374106,0.4211207,0.5892439
2800,0.5216488147323782,0.5573321580886841,0.5583913922309875,0.99457157,0.77458686,0.58296955,0.8462038,0.7503388,0.5276997,0.811844,0.773855,0.69879234,0.709417,0.1729798,0.30628204,0.44133192,0.2950815,0.38006526,0.5329114,0.46339458,0.47220534,0.526368,0.59480727
2900,0.4771641219655673,0.5583913922309875,0.5526434779167175,0.9945677,0.7669289,0.5926012,0.8487657,0.772136,0.5155661,0.81031394,0.76896083,0.67614496,0.686403,0.13531536,0.40343046,0.40602583,0.24010792,0.39495987,0.5036859,0.45612627,0.5109718,0.45697677,0.59835917
3000,0.9010186195373535,0.5583913922309875,0.5497207641601562,0.9947192,0.77807796,0.57570684,0.8501618,0.76680475,0.5288482,0.8189771,0.7714761,0.6897124,0.7089572,0.07936508,0.3351496,0.42798913,0.22952129,0.38999444,0.5261216,0.4266319,0.50794077,0.48789895,0.5884383
3100,0.5594364919445731,0.5583913922309875,0.5628553032875061,0.9945548,0.76716197,0.5932901,0.84684265,0.7882175,0.5487399,0.80725193,0.758258,0.71691644,0.69570863,0.1827957,0.36260283,0.42083335,0.22758082,0.42290643,0.52813065,0.4560277,0.5150376,0.48384616,0.63569045
3200,0.5661993101239204,0.5628553032875061,0.5425832867622375,0.9946222,0.7691647,0.58117115,0.84666157,0.7541526,0.5340587,0.81633055,0.77101433,0.71796024,0.69591284,0.18978606,0.3238449,0.40091956,0.24754755,0.37170294,0.55173993,0.3926342,0.46551722,0.26086956,0.63288045
3300,0.33035752177238464,0.5628553032875061,0.5462152063846588,0.9946599,0.78975517,0.5854196,0.84310484,0.7597029,0.50922453,0.81081766,0.74433744,0.72417736,0.6901828,0.23963964,0.35290378,0.4526316,0.24405079,0.39533752,0.5401341,0.4297235,0.42256504,0.27328765,0.6029287
3400,0.5482702959667553,0.5628553032875061,0.5466786324977875,0.99458236,0.7878935,0.5954393,0.8407624,0.7664498,0.535144,0.809634,0.73675,0.7082374,0.70417106,0.13101533,0.3614605,0.560786,0.25422415,0.41698158,0.51938355,0.37678573,0.51948977,0.25,0.5385965
3500,0.5365576992432276,0.5628553032875061,0.5464119017124176,0.99471104,0.79303956,0.5675609,0.8498535,0.7694478,0.5069471,0.80796045,0.75195026,0.69944483,0.7125403,0.118644066,0.3426996,0.5477689,0.29188675,0.35731226,0.50398266,0.36609653,0.47120786,0.392388,0.5642717
3600,0.334452360868454,0.5628553032875061,0.547298789024353,0.99488306,0.80433524,0.5602385,0.85380006,0.7738824,0.520013,0.8150261,0.74621797,0.69484425,0.7150208,0.10416667,0.36745098,0.5530303,0.28535354,0.3770615,0.5008451,0.36798072,0.49530074,0.31350258,0.5870303
3700,0.3724567842754451,0.5628553032875061,0.5422627031803131,0.9947813,0.7936634,0.57032084,0.8491626,0.7817043,0.4791726,0.8086562,0.7581942,0.70300806,0.72208184,0.14263359,0.36622483,0.4666667,0.26295468,0.36475986,0.5389813,0.3950501,0.44861466,0.28216597,0.5872912
3800,0.5545369684696198,0.5628553032875061,0.5503644645214081,0.9948394,0.80560833,0.5624248,0.84804225,0.7850149,0.5621835,0.8128141,0.7597381,0.7030257,0.7258799,0.14846155,0.3649402,0.4918831,0.24428183,0.42088056,0.53705233,0.40529376,0.44526106,0.3082202,0.57498956
3900,0.31078359484672546,0.5628553032875061,0.5421572923660278,0.9946895,0.77844024,0.5488429,0.8445927,0.7717706,0.52167094,0.81758654,0.7625649,0.7046585,0.72229296,0.22015916,0.3304218,0.3126506,0.22085336,0.415942,0.5016561,0.45833334,0.4208473,0.40501165,0.5628737
4000,0.7717964107340033,0.5628553032875061,0.5614993870258331,0.9947512,0.77839965,0.5742323,0.85201496,0.7634082,0.5925031,0.81674004,0.7800749,0.7041742,0.7049931,0.24689826,0.3267631,0.40062696,0.2977941,0.41455305,0.47564936,0.4409091,0.49578506,0.49529967,0.57044077
4100,0.3646647135416667,0.5628553032875061,0.5549537539482117,0.99494374,0.79423046,0.5300194,0.85771155,0.78812253,0.54054695,0.8193808,0.7603274,0.7011589,0.7205281,0.22428572,0.3390302,0.3990909,0.3041613,0.41698158,0.45584047,0.45192307,0.47205883,0.46750778,0.5491055
4200,0.9410902857780457,0.5628553032875061,0.5596636235713959,0.99472994,0.7878606,0.50176334,0.8521897,0.779067,0.570406,0.80363715,0.77209556,0.7148768,0.712457,0.1855346,0.34833336,0.50581783,0.36157024,0.409611,0.4371308,0.45297807,0.4634503,0.4681503,0.5607639
4300,0.40077507902275433,0.5628553032875061,0.5484238862991333,0.9947624,0.7856202,0.54554975,0.84389997,0.7830397,0.5560352,0.8116958,0.7792969,0.715364,0.7085118,0.24813896,0.37121934,0.41543126,0.29682934,0.31678325,0.50178516,0.38235295,0.47006685,0.31384617,0.60615945
4400,0.4326991985241572,0.5628553032875061,0.5604349374771118,0.99477077,0.7928026,0.5232021,0.8440612,0.7821891,0.5846081,0.8188426,0.77950215,0.707886,0.7156439,0.13719213,0.33120203,0.49825782,0.3091168,0.3553586,0.44,0.45319265,0.48653018,0.5308689,0.61683303
4500,0.9436760544776917,0.5628553032875061,0.5581187009811401,0.9947902,0.8009535,0.53797215,0.8461863,0.78236973,0.5281183,0.8109088,0.7709029,0.69851327,0.71423674,0.19105312,0.31106323,0.5073143,0.29209775,0.36672866,0.43161064,0.46308017,0.46907216,0.51735455,0.61654615
4600,0.3146357116374103,0.5628553032875061,0.5534543991088867,0.99472296,0.7888825,0.5511488,0.84600896,0.7972064,0.50573385,0.8095641,0.7497601,0.6968005,0.7061928,0.18284163,0.32794118,0.51626253,0.2921086,0.34684068,0.4483295,0.42961878,0.5912595,0.39600843,0.58531076
4700,0.3630916476249695,0.5628553032875061,0.5505466461181641,0.9946765,0.77326,0.5783918,0.85398996,0.77452254,0.5322485,0.8097482,0.75801,0.6941216,0.706303,0.21816868,0.2586735,0.49379066,0.21307692,0.32736576,0.45833334,0.41818184,0.5703459,0.45359728,0.60034966
4800,0.27460330724716187,0.5628553032875061,0.5486320853233337,0.99474084,0.788233,0.5078374,0.8443563,0.7960135,0.55461264,0.8186799,0.7617561,0.70234436,0.7192167,0.10313343,0.36383927,0.4303873,0.26226294,0.41346157,0.45422763,0.426511,0.48946053,0.43938294,0.5811966
4900,0.5490005707198923,0.5628553032875061,0.5430888235569,0.9946664,0.7921094,0.5527552,0.8443012,0.78388655,0.5191973,0.8158518,0.76402515,0.7076967,0.73074824,0.14932127,0.3122549,0.49766523,0.25383583,0.35681215,0.4618467,0.38873628,0.4815508,0.34177214,0.5973909
5000,0.4348887527982394,0.5628553032875061,0.5472119152545929,0.994556,0.7645474,0.5671705,0.8363495,0.79208744,0.5380122,0.81775,0.74409723,0.70543385,0.69338965,0.17641325,0.33669633,0.5417772,0.26312009,0.38651243,0.4383117,0.35071427,0.49379653,0.35302198,0.62022734
5100,0.9893836975097656,0.5628553032875061,0.5506956577301025,0.99473274,0.77940774,0.5742983,0.84306717,0.7762533,0.5658311,0.8200627,0.76176685,0.712411,0.7164444,0.16417749,0.30757576,0.55168563,0.23103449,0.36041665,0.44958907,0.37382352,0.44008774,0.5111816,0.56911767
5200,0.26716591688719665,0.5628553032875061,0.5379773080348969,0.99477863,0.7760011,0.563865,0.8483273,0.7917715,0.53926873,0.8205893,0.7486221,0.70393884,0.7230613,0.15492958,0.32126552,0.46091956,0.22660306,0.25671643,0.4581579,0.45883775,0.43195033,0.3975194,0.5551833
5300,0.3836638977130254,0.5628553032875061,0.5444250404834747,0.9948238,0.7902962,0.5645748,0.8494209,0.7769981,0.59009326,0.8192339,0.75011736,0.71066487,0.7132868,0.12239428,0.32076356,0.40640235,0.23448479,0.3636136,0.46458334,0.41909635,0.47975254,0.41639608,0.5867176
5400,1.1599198579788208,0.5628553032875061,0.5395555794239044,0.9949519,0.78739303,0.58533645,0.85431623,0.7864555,0.54785633,0.82179403,0.7453399,0.69424593,0.71395254,0.13663594,0.261345,0.42138368,0.24346407,0.32850242,0.447612,0.41458693,0.47771317,0.3700974,0.627373
5500,0.4876360676505349,0.5628553032875061,0.5520119667053223,0.99478734,0.80222636,0.54663646,0.84861493,0.7743072,0.5759672,0.8137469,0.7426511,0.7105169,0.705952,0.15233314,0.33720928,0.42211246,0.2293831,0.3154762,0.49560183,0.445,0.45667523,0.5147749,0.64913857
5600,0.5882470856110255,0.5628553032875061,0.548158198595047,0.9948522,0.7816082,0.5788091,0.8524724,0.7805463,0.5486804,0.82133067,0.73849905,0.709227,0.7126971,0.17667493,0.28770834,0.47883296,0.27364865,0.30007222,0.44545454,0.45627338,0.47102427,0.42819953,0.60714287
5700,0.16450214385986328,0.5628553032875061,0.5461118221282959,0.99482846,0.8027749,0.5718423,0.84719336,0.77684045,0.5596825,0.818102,0.7506344,0.7084172,0.71295923,0.23015875,0.2947945,0.37019968,0.20668459,0.23113723,0.482688,0.403463,0.49521223,0.5213423,0.62149125
5800,0.3570227460427718,0.5628553032875061,0.5630923509597778,0.9948597,0.7679589,0.59761083,0.85471666,0.7913213,0.5642452,0.8255083,0.754258,0.71386904,0.7086426,0.2483897,0.34859625,0.5163243,0.24950397,0.3110215,0.44960475,0.37834036,0.48454666,0.5623182,0.62977374
5900,0.2622223397095998,0.5630923509597778,0.550206184387207,0.99481606,0.7954742,0.57663274,0.84486103,0.781728,0.6183697,0.82553136,0.7666869,0.7118148,0.7034498,0.11657682,0.2698718,0.5118462,0.25559437,0.27450982,0.4267551,0.408805,0.4788173,0.5252887,0.60807586
6000,0.16848234832286835,0.5630923509597778,0.5456448793411255,0.9947966,0.7863327,0.5677954,0.8511378,0.79120076,0.5754285,0.8206146,0.74042404,0.70838034,0.6939256,0.18075183,0.35827053,0.43686867,0.2159091,0.2611111,0.42447764,0.39738563,0.4988705,0.48873752,0.595701
6100,0.4821830771186135,0.5630923509597778,0.5516547560691833,0.9948921,0.7893337,0.5509101,0.85314333,0.78687525,0.61522627,0.8232529,0.76777655,0.71145374,0.6951399,0.2167872,0.3491243,0.47339818,0.25830537,0.2425179,0.4149086,0.48009366,0.43333334,0.513119,0.55064106
6200,0.22328044225772223,0.5630923509597778,0.5410705506801605,0.9947933,0.7685405,0.5723652,0.8525122,0.77646184,0.5853882,0.82344174,0.74874425,0.7126771,0.69139355,0.17514125,0.30882353,0.42198145,0.29353282,0.21052632,0.4199902,0.45561838,0.45180726,0.43291593,0.609375
6300,0.3307912051677704,0.5630923509597778,0.5465719997882843,0.9949034,0.77970934,0.58727676,0.8522439,0.7744696,0.5281523,0.82740605,0.76227593,0.70491135,0.69276357,0.18425927,0.38821203,0.45055684,0.21320346,0.29435486,0.45714796,0.4446029,0.40608975,0.49821803,0.57843137
6400,0.3040406493978067,0.5630923509597778,0.5394123494625092,0.99476403,0.78369343,0.57057977,0.84827316,0.77708364,0.57609344,0.8217394,0.7534858,0.7071759,0.69482356,0.15847458,0.42811924,0.42215258,0.26650578,0.23728815,0.47936195,0.42517006,0.44597185,0.35229802,0.53530896
