Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11,Dice Class 12,Dice Class 13,Dice Class 14,Dice Class 15,Dice Class 16,Dice Class 17,Dice Class 18,Dice Class 19,Dice Class 20
100,2.5169100761413574,0.0,0.05082976445555687,0.9217624,0.051526785,0.0,0.036380105,0.019943185,0.00016834072,0.00027485742,0.02716445,0.00067403616,0.008509084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.004763e-05,0.00038138826,0.0
200,1.344486951828003,0.05082976445555687,0.047027669847011566,0.987581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,1.1169229745864868,0.05082976445555687,0.05308030545711517,0.98890275,0.061010633,0.0,0.00014804945,0.0,0.0,0.047865212,0.0,0.0,0.016759777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,1.0469187498092651,0.05308030545711517,0.09882017970085144,0.9954303,0.5138277,0.05978785,0.25702426,0.0,0.0,0.24915352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,0.9827060103416443,0.09882017970085144,0.136878103017807,0.9961525,0.6679684,0.0,0.3458426,0.0,0.0,0.8644768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,0.9098787903785706,0.136878103017807,0.17046184837818146,0.99690205,0.8690952,0.0,0.8188331,0.0,0.0,0.89486843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,0.8726097941398621,0.17046184837818146,0.19341501593589783,0.99769735,0.83809257,0.0,0.85507387,0.17934166,0.0,0.92097515,0.25206336,0.0,0.01847101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,0.8326232433319092,0.19341501593589783,0.26763588190078735,0.9980745,0.8972888,0.014888338,0.92907554,0.61209965,0.0,0.9338064,0.6425789,0.0,0.59254146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,0.7701067328453064,0.26763588190078735,0.30695849657058716,0.99808216,0.91067505,0.06367925,0.9325153,0.89445347,0.0019704434,0.9290711,0.8685446,0.0,0.8471368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.7387030720710754,0.30695849657058716,0.3317039906978607,0.9984277,0.92369014,0.32830188,0.93591416,0.92435473,0.07462686,0.94300884,0.90672785,0.03500398,0.89572734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.7172365784645081,0.3317039906978607,0.3762000501155853,0.99859357,0.9466079,0.4128167,0.9459796,0.9132057,0.40526003,0.94017935,0.8902494,0.54059404,0.9067145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,0.685965895652771,0.3762000501155853,0.4059458374977112,0.9986244,0.9491202,0.4912863,0.9532362,0.93357134,0.6283557,0.936274,0.9199876,0.81695724,0.8974487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,0.6382548213005066,0.4059458374977112,0.44246906042099,0.99886584,0.9507422,0.8992516,0.9605373,0.9541645,0.8576577,0.9573354,0.9330616,0.86821705,0.91201663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,0.6113049983978271,0.44246906042099,0.4397708773612976,0.9986636,0.9531685,0.9205608,0.9465562,0.94088924,0.8370119,0.95025826,0.9237171,0.8550881,0.90927523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,0.6012938022613525,0.44246906042099,0.44736477732658386,0.99885863,0.9542805,0.93089193,0.95649993,0.944638,0.8561555,0.95559037,0.9321055,0.88930583,0.9222798,0.0,0.0,0.054054055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
